@relation itdoesntmatter-weka.filters.unsupervised.attribute.Remove-R8-221

@attribute line_number numeric
@attribute num_words numeric
@attribute median_word_length numeric
@attribute mean_word_length numeric
@attribute journal_name {arxiv,jdm,plos}
@attribute expert_annotator numeric
@attribute section_name {abstract,introduction}
@attribute AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH1 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH2 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH3 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH4 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH5 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH6 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH7 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH8 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH9 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH10 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH11 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH12 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH13 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH14 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH15 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH16 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH17 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH18 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH19 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH0AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH1AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH2AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH3AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH4AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH5AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH6AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH7AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH8AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH9AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH10AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH11AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH12AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH13AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH14AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH15AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH16AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH17AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH18AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH19AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute class_label {AIM,BASE,CONT,OWN,MISC}

@data
17,22,5,6,jdm,0,introduction,DET,ADP,DET,NOUN,VERB,NOUN,ADV,NUM,NOUN,CONJ,ADJ,ADP,DET,NOUN,VERB,ADJ,NOUN,CONJ,DET,NOUN,NOUN,DET,CONJ,NOUN,ADJ,VERB,NOUN,DET,ADP,ADJ,CONJ,NOUN,NUM,ADV,NOUN,VERB,NOUN,DET,ADP,DET,MISC
18,27,5,6,jdm,0,introduction,ADP,ADJ,NOUN,.,ADV,ADJ,ADP,DET,ADP,DET,NOUN,ADP,NUM,NOUN,ADP,NOUN,VERB,ADJ,NOUN,.,.,NOUN,ADJ,VERB,NOUN,ADP,NOUN,NUM,ADP,NOUN,DET,ADP,DET,ADP,ADJ,ADV,.,NOUN,ADJ,ADP,MISC
19,25,6,6,jdm,0,introduction,NOUN,.,NOUN,.,CONJ,ADJ,NOUN,VERB,ADP,NOUN,ADP,DET,NOUN,VERB,VERB,VERB,NOUN,PRT,VERB,ADJ,ADJ,VERB,PRT,NOUN,VERB,VERB,VERB,NOUN,DET,ADP,NOUN,ADP,VERB,NOUN,ADJ,CONJ,.,NOUN,.,NOUN,MISC
20,21,4,4.714286,jdm,0,introduction,ADV,.,NOUN,NOUN,ADV,VERB,PRON,NOUN,PRT,VERB,.,ADV,PRON,VERB,ADV,ADP,NOUN,CONJ,VERB,PRT,PRT,VERB,CONJ,NOUN,ADP,ADV,VERB,PRON,ADV,.,VERB,PRT,NOUN,PRON,VERB,ADV,NOUN,NOUN,.,ADV,MISC
21,29,4,5.103448,jdm,0,introduction,DET,NOUN,ADP,NOUN,PRON,NOUN,PRT,VERB,VERB,ADV,ADV,VERB,VERB,.,PRON,VERB,VERB,ADV,ADP,NOUN,NOUN,ADP,ADV,VERB,VERB,PRON,.,VERB,VERB,ADV,ADV,VERB,VERB,PRT,NOUN,PRON,NOUN,ADP,NOUN,DET,CONT
22,22,4.5,5.409091,jdm,0,introduction,NOUN,VERB,ADJ,NOUN,VERB,ADP,DET,NOUN,ADJ,VERB,ADV,ADV,ADV,DET,VERB,DET,ADJ,NOUN,NOUN,ADP,ADP,NOUN,NOUN,ADJ,DET,VERB,DET,ADV,ADV,ADV,VERB,ADJ,NOUN,DET,ADP,VERB,NOUN,ADJ,VERB,NOUN,MISC
23,22,6.5,5.636364,jdm,0,introduction,ADP,NOUN,.,NOUN,NOUN,NOUN,NOUN,VERB,ADP,ADJ,NOUN,VERB,ADP,NOUN,NOUN,VERB,NOUN,ADP,VERB,ADP,ADP,VERB,ADP,NOUN,VERB,NOUN,NOUN,ADP,VERB,NOUN,ADJ,ADP,VERB,NOUN,NOUN,NOUN,NOUN,.,NOUN,ADP,MISC
24,50,4,4.64,jdm,0,introduction,NOUN,VERB,ADJ,NOUN,VERB,DET,NOUN,PRT,VERB,ADP,DET,NOUN,ADJ,VERB,ADV,ADJ,ADV,VERB,NOUN,NOUN,NOUN,NOUN,VERB,ADV,ADJ,ADV,VERB,ADJ,NOUN,DET,ADP,VERB,PRT,NOUN,DET,VERB,NOUN,ADJ,VERB,NOUN,CONT
25,28,4,4.25,jdm,0,introduction,ADP,DET,NOUN,.,NOUN,NOUN,NOUN,NOUN,VERB,ADP,.,ADV,DET,NOUN,ADP,NOUN,NOUN,NUM,.,NOUN,NOUN,.,NUM,NOUN,NOUN,ADP,NOUN,DET,ADV,.,ADP,VERB,NOUN,NOUN,NOUN,NOUN,.,NOUN,DET,ADP,MISC
26,27,3,4.518519,jdm,0,introduction,NOUN,VERB,ADJ,NOUN,NOUN,NOUN,ADP,DET,NOUN,ADP,DET,.,NOUN,.,ADP,DET,NOUN,.,CONJ,VERB,VERB,CONJ,.,NOUN,DET,ADP,.,NOUN,.,DET,ADP,NOUN,DET,ADP,NOUN,NOUN,NOUN,ADJ,VERB,NOUN,MISC
27,17,5,5.117647,jdm,0,introduction,PRON,VERB,ADP,DET,NOUN,ADJ,VERB,ADJ,ADP,.,ADJ,.,NOUN,ADP,DET,NOUN,VERB,ADV,ADJ,?,?,ADJ,ADV,VERB,NOUN,DET,ADP,NOUN,.,ADJ,.,ADP,ADJ,VERB,ADJ,NOUN,DET,ADP,VERB,PRON,MISC
28,39,5,5.076923,jdm,0,introduction,ADV,.,NOUN,NOUN,VERB,ADP,NOUN,NOUN,ADP,NOUN,CONJ,ADJ,NOUN,VERB,VERB,VERB,DET,NOUN,ADV,NOUN,NOUN,ADV,NOUN,DET,VERB,VERB,VERB,NOUN,ADJ,CONJ,NOUN,ADP,NOUN,NOUN,ADP,VERB,NOUN,NOUN,.,ADV,CONT
29,31,5,5.548387,jdm,0,introduction,NOUN,VERB,ADJ,NOUN,VERB,NOUN,ADP,DET,NOUN,CONJ,PRON,NOUN,VERB,ADP,DET,NOUN,ADJ,VERB,ADJ,ADP,ADP,ADJ,VERB,ADJ,NOUN,DET,ADP,VERB,NOUN,PRON,CONJ,NOUN,DET,ADP,NOUN,VERB,NOUN,ADJ,VERB,NOUN,MISC
30,39,4,5.076923,jdm,0,introduction,PRT,NOUN,ADP,DET,NOUN,.,NOUN,NOUN,NOUN,VERB,ADP,NOUN,CONJ,ADJ,NOUN,VERB,ADJ,NOUN,ADP,DET,DET,ADP,NOUN,ADJ,VERB,NOUN,ADJ,CONJ,NOUN,ADP,VERB,NOUN,NOUN,NOUN,.,NOUN,DET,ADP,NOUN,PRT,MISC
31,30,3.5,4.833333,jdm,0,introduction,NOUN,VERB,ADV,ADJ,ADP,ADJ,NOUN,.,ADV,ADJ,.,NOUN,NOUN,NOUN,VERB,ADP,NOUN,VERB,DET,.,.,DET,VERB,NOUN,ADP,VERB,NOUN,NOUN,NOUN,.,ADJ,ADV,.,NOUN,ADJ,ADP,ADJ,ADV,VERB,NOUN,CONT
32,43,5,5.139535,jdm,0,introduction,ADP,DET,ADP,DET,NOUN,ADP,NOUN,CONJ,ADJ,NOUN,.,DET,VERB,DET,ADJ,NOUN,NOUN,ADP,DET,NOUN,NOUN,DET,ADP,NOUN,NOUN,ADJ,DET,VERB,DET,.,NOUN,ADJ,CONJ,NOUN,ADP,NOUN,DET,ADP,DET,ADP,MISC
33,18,4,5.055556,jdm,0,introduction,DET,NOUN,ADP,NOUN,NOUN,NOUN,NOUN,VERB,ADV,VERB,NOUN,ADP,ADJ,NOUN,ADP,NOUN,ADP,ADV,?,?,?,?,ADV,ADP,NOUN,ADP,NOUN,ADJ,ADP,NOUN,VERB,ADV,VERB,NOUN,NOUN,NOUN,NOUN,ADP,NOUN,DET,CONT
34,14,4,4.571429,jdm,0,introduction,DET,NOUN,VERB,DET,ADJ,NOUN,ADP,NOUN,ADP,NOUN,DET,NOUN,VERB,ADP,?,?,?,?,?,?,?,?,?,?,?,?,ADP,VERB,NOUN,DET,NOUN,ADP,NOUN,ADP,NOUN,ADJ,DET,VERB,NOUN,DET,AIM
35,31,5,5.83871,jdm,0,introduction,ADP,DET,NOUN,.,NUM,NOUN,VERB,ADV,ADV,ADJ,DET,ADJ,.,DET,VERB,DET,ADJ,NOUN,NOUN,.,.,NOUN,NOUN,ADJ,DET,VERB,DET,.,ADJ,DET,ADJ,ADV,ADV,VERB,NOUN,NUM,.,NOUN,DET,ADP,OWN
36,23,4,4.73913,jdm,0,introduction,ADP,NOUN,.,ADP,ADJ,NOUN,.,DET,ADJ,NOUN,VERB,NOUN,ADP,VERB,NOUN,CONJ,VERB,NOUN,PRT,.,.,PRT,NOUN,VERB,CONJ,NOUN,VERB,ADP,NOUN,VERB,NOUN,ADJ,DET,.,NOUN,ADJ,ADP,.,NOUN,ADP,CONT
37,42,3,4.285714,jdm,0,introduction,DET,VERB,.,VERB,NOUN,CONJ,VERB,NOUN,VERB,DET,VERB,ADJ,ADP,.,ADP,DET,NOUN,NOUN,PRON,CONJ,CONJ,PRON,NOUN,NOUN,DET,ADP,.,ADP,ADJ,VERB,DET,VERB,NOUN,VERB,CONJ,NOUN,VERB,.,VERB,DET,OWN
38,33,4,4.818182,jdm,0,introduction,ADV,.,DET,NOUN,VERB,VERB,ADV,ADP,DET,NOUN,NOUN,ADP,NOUN,ADJ,ADP,ADJ,NOUN,NOUN,DET,NOUN,NOUN,DET,NOUN,NOUN,ADJ,ADP,ADJ,NOUN,ADP,NOUN,NOUN,DET,ADP,ADV,VERB,VERB,NOUN,DET,.,ADV,OWN
0,23,5,5.652174,jdm,1,abstract,ADJ,NOUN,ADP,ADJ,NOUN,NOUN,NOUN,CONJ,ADP,DET,NOUN,ADJ,NOUN,VERB,NOUN,NOUN,DET,NUM,NOUN,ADP,ADP,NOUN,NUM,DET,NOUN,NOUN,VERB,NOUN,ADJ,NOUN,DET,ADP,CONJ,NOUN,NOUN,NOUN,ADJ,ADP,NOUN,ADJ,MISC
1,16,5,6,jdm,1,abstract,ADV,.,DET,NOUN,VERB,VERB,ADP,PRON,VERB,NOUN,ADP,VERB,.,VERB,.,NOUN,ADP,ADJ,NOUN,?,?,NOUN,ADJ,ADP,NOUN,.,VERB,.,VERB,ADP,NOUN,VERB,PRON,ADP,VERB,VERB,NOUN,DET,.,ADV,MISC
2,9,5,6,jdm,1,abstract,DET,NOUN,NOUN,ADJ,NOUN,DET,VERB,DET,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,DET,VERB,DET,NOUN,ADJ,NOUN,NOUN,DET,AIM
3,11,5,4.727273,jdm,1,abstract,VERB,NOUN,ADP,DET,NOUN,VERB,ADV,ADJ,ADP,DET,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,DET,ADP,ADJ,ADV,VERB,NOUN,DET,ADP,NOUN,VERB,OWN
4,33,3,4.212121,jdm,1,abstract,ADP,NOUN,.,ADP,DET,NOUN,VERB,VERB,NOUN,NOUN,.,VERB,NOUN,NOUN,.,NOUN,.,CONJ,NOUN,ADP,ADP,NOUN,CONJ,.,NOUN,.,NOUN,NOUN,VERB,.,NOUN,NOUN,VERB,VERB,NOUN,DET,ADP,.,NOUN,ADP,OWN
5,23,5,5.565217,jdm,1,abstract,ADP,NOUN,.,DET,NOUN,ADP,NOUN,NOUN,NOUN,NOUN,CONJ,DET,NOUN,NOUN,NOUN,ADP,NOUN,VERB,VERB,NOUN,NOUN,VERB,VERB,NOUN,ADP,NOUN,NOUN,NOUN,DET,CONJ,NOUN,NOUN,NOUN,NOUN,ADP,NOUN,DET,.,NOUN,ADP,MISC
6,19,4,5.421053,jdm,1,abstract,NOUN,VERB,DET,NOUN,.,ADV,ADV,ADJ,VERB,VERB,PRT,VERB,DET,ADJ,NOUN,NOUN,VERB,DET,NOUN,NOUN,NOUN,NOUN,DET,VERB,NOUN,NOUN,ADJ,DET,VERB,PRT,VERB,VERB,ADJ,ADV,ADV,.,NOUN,DET,VERB,NOUN,CONT
7,9,5,6.666667,jdm,1,abstract,ADJ,NOUN,ADP,NOUN,NOUN,VERB,ADV,VERB,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,VERB,ADV,VERB,NOUN,NOUN,ADP,NOUN,ADJ,OWN
8,7,6,6,jdm,1,abstract,ADJ,NOUN,VERB,VERB,.,ADJ,PRT,VERB,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,VERB,PRT,ADJ,.,VERB,VERB,NOUN,ADJ,OWN
9,23,5,4.913043,jdm,1,abstract,DET,NOUN,VERB,PRT,DET,VERB,NOUN,ADP,NOUN,VERB,ADP,DET,NOUN,CONJ,NOUN,VERB,DET,ADJ,NOUN,ADP,ADP,NOUN,ADJ,DET,VERB,NOUN,CONJ,NOUN,DET,ADP,VERB,NOUN,ADP,NOUN,VERB,DET,PRT,VERB,NOUN,DET,OWN
10,12,5.5,5.666667,jdm,1,introduction,DET,NOUN,VERB,NUM,NOUN,DET,NOUN,PRT,VERB,ADJ,NOUN,VERB,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,VERB,NOUN,ADJ,VERB,PRT,NOUN,DET,NOUN,NUM,VERB,NOUN,DET,AIM
11,27,7,6.259259,jdm,1,introduction,DET,NOUN,VERB,ADJ,NOUN,NOUN,NOUN,NOUN,.,NOUN,PRT,NOUN,NOUN,ADP,NOUN,NOUN,NOUN,NOUN,.,CONJ,CONJ,.,NOUN,NOUN,NOUN,NOUN,ADP,NOUN,NOUN,PRT,NOUN,.,NOUN,NOUN,NOUN,NOUN,ADJ,VERB,NOUN,DET,MISC
12,21,4,4,jdm,1,introduction,DET,NOUN,NOUN,VERB,VERB,ADP,DET,NOUN,ADP,NOUN,VERB,NUM,NOUN,ADP,DET,NOUN,.,ADJ,ADP,DET,DET,ADP,ADJ,.,NOUN,DET,ADP,NOUN,NUM,VERB,NOUN,ADP,NOUN,DET,ADP,VERB,VERB,NOUN,NOUN,DET,MISC
13,29,5,5.241379,jdm,1,introduction,ADP,NOUN,.,DET,NOUN,NOUN,ADP,NOUN,NOUN,ADP,ADJ,ADP,NOUN,NOUN,VERB,ADV,ADJ,PRT,DET,NOUN,NOUN,DET,PRT,ADJ,ADV,VERB,NOUN,NOUN,ADP,ADJ,ADP,NOUN,NOUN,ADP,NOUN,NOUN,DET,.,NOUN,ADP,MISC
14,29,6,5.586207,jdm,1,introduction,NOUN,NOUN,VERB,DET,NOUN,ADP,ADJ,NOUN,DET,NOUN,DET,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,VERB,NOUN,CONJ,CONJ,NOUN,VERB,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,DET,NOUN,DET,NOUN,ADJ,ADP,NOUN,DET,VERB,NOUN,NOUN,MISC
15,17,4,5.294118,jdm,1,introduction,NOUN,NOUN,VERB,ADP,ADJ,ADP,DET,ADJ,NOUN,DET,NOUN,VERB,ADV,VERB,DET,NOUN,ADJ,?,?,?,?,?,?,ADJ,NOUN,DET,VERB,ADV,VERB,NOUN,DET,NOUN,ADJ,DET,ADP,ADJ,ADP,VERB,NOUN,NOUN,MISC
16,26,6,5.615385,jdm,1,introduction,ADP,NOUN,.,DET,NOUN,ADJ,VERB,ADJ,ADP,DET,ADP,DET,ADJ,NOUN,VERB,ADP,NOUN,NOUN,.,ADP,ADP,.,NOUN,NOUN,ADP,VERB,NOUN,ADJ,DET,ADP,DET,ADP,ADJ,VERB,ADJ,NOUN,DET,.,NOUN,ADP,MISC
17,22,5,6,jdm,1,introduction,DET,ADP,DET,NOUN,VERB,NOUN,ADV,NUM,NOUN,CONJ,ADJ,ADP,DET,NOUN,VERB,ADJ,NOUN,CONJ,DET,NOUN,NOUN,DET,CONJ,NOUN,ADJ,VERB,NOUN,DET,ADP,ADJ,CONJ,NOUN,NUM,ADV,NOUN,VERB,NOUN,DET,ADP,DET,MISC
18,27,5,6,jdm,1,introduction,ADP,ADJ,NOUN,.,ADV,ADJ,ADP,DET,ADP,DET,NOUN,ADP,NUM,NOUN,ADP,NOUN,VERB,ADJ,NOUN,.,.,NOUN,ADJ,VERB,NOUN,ADP,NOUN,NUM,ADP,NOUN,DET,ADP,DET,ADP,ADJ,ADV,.,NOUN,ADJ,ADP,MISC
19,25,6,6,jdm,1,introduction,NOUN,.,NOUN,.,CONJ,ADJ,NOUN,VERB,ADP,NOUN,ADP,DET,NOUN,VERB,VERB,VERB,NOUN,PRT,VERB,ADJ,ADJ,VERB,PRT,NOUN,VERB,VERB,VERB,NOUN,DET,ADP,NOUN,ADP,VERB,NOUN,ADJ,CONJ,.,NOUN,.,NOUN,MISC
20,21,4,4.714286,jdm,1,introduction,ADV,.,NOUN,NOUN,ADV,VERB,PRON,NOUN,PRT,VERB,.,ADV,PRON,VERB,ADV,ADP,NOUN,CONJ,VERB,PRT,PRT,VERB,CONJ,NOUN,ADP,ADV,VERB,PRON,ADV,.,VERB,PRT,NOUN,PRON,VERB,ADV,NOUN,NOUN,.,ADV,MISC
21,29,4,5.103448,jdm,1,introduction,DET,NOUN,ADP,NOUN,PRON,NOUN,PRT,VERB,VERB,ADV,ADV,VERB,VERB,.,PRON,VERB,VERB,ADV,ADP,NOUN,NOUN,ADP,ADV,VERB,VERB,PRON,.,VERB,VERB,ADV,ADV,VERB,VERB,PRT,NOUN,PRON,NOUN,ADP,NOUN,DET,MISC
22,22,4.5,5.409091,jdm,1,introduction,NOUN,VERB,ADJ,NOUN,VERB,ADP,DET,NOUN,ADJ,VERB,ADV,ADV,ADV,DET,VERB,DET,ADJ,NOUN,NOUN,ADP,ADP,NOUN,NOUN,ADJ,DET,VERB,DET,ADV,ADV,ADV,VERB,ADJ,NOUN,DET,ADP,VERB,NOUN,ADJ,VERB,NOUN,MISC
23,22,6.5,5.636364,jdm,1,introduction,ADP,NOUN,.,NOUN,NOUN,NOUN,NOUN,VERB,ADP,ADJ,NOUN,VERB,ADP,NOUN,NOUN,VERB,NOUN,ADP,VERB,ADP,ADP,VERB,ADP,NOUN,VERB,NOUN,NOUN,ADP,VERB,NOUN,ADJ,ADP,VERB,NOUN,NOUN,NOUN,NOUN,.,NOUN,ADP,MISC
24,50,4,4.64,jdm,1,introduction,NOUN,VERB,ADJ,NOUN,VERB,DET,NOUN,PRT,VERB,ADP,DET,NOUN,ADJ,VERB,ADV,ADJ,ADV,VERB,NOUN,NOUN,NOUN,NOUN,VERB,ADV,ADJ,ADV,VERB,ADJ,NOUN,DET,ADP,VERB,PRT,NOUN,DET,VERB,NOUN,ADJ,VERB,NOUN,MISC
25,28,4,4.25,jdm,1,introduction,ADP,DET,NOUN,.,NOUN,NOUN,NOUN,NOUN,VERB,ADP,.,ADV,DET,NOUN,ADP,NOUN,NOUN,NUM,.,NOUN,NOUN,.,NUM,NOUN,NOUN,ADP,NOUN,DET,ADV,.,ADP,VERB,NOUN,NOUN,NOUN,NOUN,.,NOUN,DET,ADP,MISC
26,27,3,4.518519,jdm,1,introduction,NOUN,VERB,ADJ,NOUN,NOUN,NOUN,ADP,DET,NOUN,ADP,DET,.,NOUN,.,ADP,DET,NOUN,.,CONJ,VERB,VERB,CONJ,.,NOUN,DET,ADP,.,NOUN,.,DET,ADP,NOUN,DET,ADP,NOUN,NOUN,NOUN,ADJ,VERB,NOUN,MISC
27,17,5,5.117647,jdm,1,introduction,PRON,VERB,ADP,DET,NOUN,ADJ,VERB,ADJ,ADP,.,ADJ,.,NOUN,ADP,DET,NOUN,VERB,ADV,ADJ,?,?,ADJ,ADV,VERB,NOUN,DET,ADP,NOUN,.,ADJ,.,ADP,ADJ,VERB,ADJ,NOUN,DET,ADP,VERB,PRON,MISC
28,39,5,5.076923,jdm,1,introduction,ADV,.,NOUN,NOUN,VERB,ADP,NOUN,NOUN,ADP,NOUN,CONJ,ADJ,NOUN,VERB,VERB,VERB,DET,NOUN,ADV,NOUN,NOUN,ADV,NOUN,DET,VERB,VERB,VERB,NOUN,ADJ,CONJ,NOUN,ADP,NOUN,NOUN,ADP,VERB,NOUN,NOUN,.,ADV,MISC
29,31,5,5.548387,jdm,1,introduction,NOUN,VERB,ADJ,NOUN,VERB,NOUN,ADP,DET,NOUN,CONJ,PRON,NOUN,VERB,ADP,DET,NOUN,ADJ,VERB,ADJ,ADP,ADP,ADJ,VERB,ADJ,NOUN,DET,ADP,VERB,NOUN,PRON,CONJ,NOUN,DET,ADP,NOUN,VERB,NOUN,ADJ,VERB,NOUN,MISC
30,39,4,5.076923,jdm,1,introduction,PRT,NOUN,ADP,DET,NOUN,.,NOUN,NOUN,NOUN,VERB,ADP,NOUN,CONJ,ADJ,NOUN,VERB,ADJ,NOUN,ADP,DET,DET,ADP,NOUN,ADJ,VERB,NOUN,ADJ,CONJ,NOUN,ADP,VERB,NOUN,NOUN,NOUN,.,NOUN,DET,ADP,NOUN,PRT,MISC
31,30,3.5,4.833333,jdm,1,introduction,NOUN,VERB,ADV,ADJ,ADP,ADJ,NOUN,.,ADV,ADJ,.,NOUN,NOUN,NOUN,VERB,ADP,NOUN,VERB,DET,.,.,DET,VERB,NOUN,ADP,VERB,NOUN,NOUN,NOUN,.,ADJ,ADV,.,NOUN,ADJ,ADP,ADJ,ADV,VERB,NOUN,MISC
32,43,5,5.139535,jdm,1,introduction,ADP,DET,ADP,DET,NOUN,ADP,NOUN,CONJ,ADJ,NOUN,.,DET,VERB,DET,ADJ,NOUN,NOUN,ADP,DET,NOUN,NOUN,DET,ADP,NOUN,NOUN,ADJ,DET,VERB,DET,.,NOUN,ADJ,CONJ,NOUN,ADP,NOUN,DET,ADP,DET,ADP,MISC
33,18,4,5.055556,jdm,1,introduction,DET,NOUN,ADP,NOUN,NOUN,NOUN,NOUN,VERB,ADV,VERB,NOUN,ADP,ADJ,NOUN,ADP,NOUN,ADP,ADV,?,?,?,?,ADV,ADP,NOUN,ADP,NOUN,ADJ,ADP,NOUN,VERB,ADV,VERB,NOUN,NOUN,NOUN,NOUN,ADP,NOUN,DET,MISC
34,14,4,4.571429,jdm,1,introduction,DET,NOUN,VERB,DET,ADJ,NOUN,ADP,NOUN,ADP,NOUN,DET,NOUN,VERB,ADP,?,?,?,?,?,?,?,?,?,?,?,?,ADP,VERB,NOUN,DET,NOUN,ADP,NOUN,ADP,NOUN,ADJ,DET,VERB,NOUN,DET,AIM
35,31,5,5.83871,jdm,1,introduction,ADP,DET,NOUN,.,NUM,NOUN,VERB,ADV,ADV,ADJ,DET,ADJ,.,DET,VERB,DET,ADJ,NOUN,NOUN,.,.,NOUN,NOUN,ADJ,DET,VERB,DET,.,ADJ,DET,ADJ,ADV,ADV,VERB,NOUN,NUM,.,NOUN,DET,ADP,OWN
36,23,4,4.73913,jdm,1,introduction,ADP,NOUN,.,ADP,ADJ,NOUN,.,DET,ADJ,NOUN,VERB,NOUN,ADP,VERB,NOUN,CONJ,VERB,NOUN,PRT,.,.,PRT,NOUN,VERB,CONJ,NOUN,VERB,ADP,NOUN,VERB,NOUN,ADJ,DET,.,NOUN,ADJ,ADP,.,NOUN,ADP,CONT
37,42,3,4.285714,jdm,1,introduction,DET,VERB,.,VERB,NOUN,CONJ,VERB,NOUN,VERB,DET,VERB,ADJ,ADP,.,ADP,DET,NOUN,NOUN,PRON,CONJ,CONJ,PRON,NOUN,NOUN,DET,ADP,.,ADP,ADJ,VERB,DET,VERB,NOUN,VERB,CONJ,NOUN,VERB,.,VERB,DET,OWN
